timestamp,S,L_eff,H_c,H_p
1777306346170,0,0,0,0
1777306346281,0,0,0,0
1777306346389,0,0,0,0
1777306346498,0,0,0,0
1777306346609,0,0,0,0
1777306346759,0,0,0,0
1777306346875,0,0,0,0
1777306346989,918000,918000,0,0
1777306347102,2758000,2758000,0,0
1777306347209,5160000,5160000,0,0
1777306347319,7118000,7118000,0,0
1777306347432,9138927,9138927,0,0
1777306347542,11164927,11164927,0,0
1777306347648,12956927,12956927,0,0
1777306347757,16113927,16113927,0,0
1777306347870,20488927,20488927,0,0
1777306348017,23231927,23231927,0,0
1777306348124,25525927,25525927,0,0
1777306348230,28841927,28841927,0,0
1777306348335,33225927,33225927,0,0
1777306348441,37647927,37647927,0,0
1777306348542,41734927,41734927,0,0
1777306348648,45955927,45955927,0,0
1777306348759,48840927,48840927,0,0
1777306348869,52635927,52635927,0,0
1777306348979,56110927,56110927,0,0
1777306349088,60442927,60442927,0,0
1777306349194,66107927,66107927,0,0
1777306349297,71719927,71719927,0,0
1777306349401,76088927,76088927,0,0
1777306349507,80172927,80172927,0,0
1777306349612,84459927,84459927,0,0
1777306349715,88109805,88109805,0,0
1777306349819,94165805,94165805,0,0
1777306349921,98790805,98790805,0,0
1777306350029,103073805,103073805,0,0
1777306350135,106569805,106569805,0,0
1777306350235,110107805,110107805,0,0
1777306350341,115642805,115642805,0,0
1777306350447,121095805,121095805,0,0
1777306350550,126186805,126186805,0,0
1777306350655,131071805,131071805,0,0
1777306350762,136962805,136962805,0,0
1777306350868,142452805,142452805,0,0
1777306350970,146448805,146448805,0,0
1777306351074,150391805,150391805,0,0
1777306351180,153932805,153932805,0,0
1777306351287,157557805,157557805,0,0
1777306351399,161450805,161450805,0,0
1777306351504,164957805,164957805,0,0
1777306351609,168904805,168904805,0,0
1777306351711,174351805,174351805,0,0
1777306351811,179493805,179493805,0,0
1777306351916,184933805,184933805,0,0
1777306352021,190044805,190044805,0,0
1777306352125,196295805,196295805,0,0
1777306352231,202503805,202503805,0,0
1777306352340,206967805,206967805,0,0
1777306352441,211239805,211239805,0,0
1777306352546,216386805,216386805,0,0
1777306352653,221603805,221603805,0,0
1777306352755,226789805,226789805,0,0
1777306352869,232515805,232515805,0,0
1777306352987,236678687,236678687,0,0
1777306353095,241549687,241549687,0,0
1777306353200,247389687,247389687,0,0
1777306353302,252482687,252482687,0,0
1777306353408,256444687,256444687,0,0
1777306353515,262255687,262255687,0,0
1777306353620,267854687,267854687,0,0
1777306353727,272603687,272603687,0,0
1777306353830,277164687,277164687,0,0
1777306353935,281292687,281292687,0,0
1777306354040,284711687,284711687,0,0
1777306354145,287772687,287772687,0,0
1777306354249,292293687,292293687,0,0
1777306354352,297161687,297161687,0,0
1777306354459,302337687,302337687,0,0
1777306354563,307175687,307175687,0,0
1777306354675,311713687,311713687,0,0
1777306354783,316412687,316412687,0,0
1777306354890,322094687,322094687,0,0
1777306354991,326994687,326994687,0,0
1777306355096,330638687,330638687,0,0
1777306355203,336076687,336076687,0,0
1777306355314,343101687,343101687,0,0
1777306355419,349055687,349055687,0,0
1777306355524,353764687,353764687,0,0
1777306355631,358488687,358488687,0,0
1777306355732,361618687,361618687,0,0
1777306355845,365259687,365259687,0,0
1777306355950,370409687,370409687,0,0
1777306356061,375790687,375790687,0,0
1777306356185,379439687,379439687,0,0
1777306356290,383851687,383851687,0,0
1777306356416,387849650,387849650,0,0
1777306356520,392634650,392634650,0,0
1777306356627,398399650,398399650,0,0
1777306356731,403929650,403929650,0,0
1777306356890,407166578,407166578,0,0
1777306357008,412992578,412992578,0,0
1777306357108,418402578,418402578,0,0
1777306357210,422915578,422915578,0,0
1777306357312,428483578,428483578,0,0
1777306357418,432953578,432953578,0,0
1777306357520,436947578,436947578,0,0
1777306357628,439750578,439750578,0,0
1777306357741,444457578,444457578,0,0
1777306357843,449386578,449386578,0,0
1777306357948,454692578,454692578,0,0
1777306358061,460030578,460030578,0,0
1777306358170,464102578,464102578,0,0
1777306358280,468967578,468967578,0,0
1777306358386,474443578,474443578,0,0
1777306358496,480443578,480443578,0,0
1777306358604,484751578,484751578,0,0
1777306358714,490061578,490061578,0,0
1777306358819,496478578,496478578,0,0
1777306358922,502790578,502790578,0,0
1777306359027,507245578,507245578,0,0
1777306359133,511962578,511962578,0,0
1777306359235,515402578,515402578,0,0
1777306359348,517838539,517838539,0,0
1777306359457,521550539,521550539,0,0
1777306359564,525815539,525815539,0,0
1777306359671,530163539,530163539,0,0
1777306359775,534297539,534297539,0,0
1777306359880,541004539,541004539,0,0
1777306359987,548024539,548024539,0,0
1777306360094,554468539,554468539,0,0
1777306360199,560147539,560147539,0,0
1777306360310,564421539,564421539,0,0
1777306360435,567251478,567251478,0,0
1777306360541,570976478,570976478,0,0
1777306360643,575181478,575181478,0,0
1777306360749,579341478,579341478,0,0
1777306360853,584159478,584159478,0,0
1777306360957,590965478,590965478,0,0
1777306361063,597043478,597043478,0,0
1777306361170,601785478,601785478,0,0
1777306361274,606336478,606336478,0,0
1777306361382,610588478,610588478,0,0
1777306361487,613982478,613982478,0,0
1777306361596,619446478,619446478,0,0
1777306361707,624394478,624394478,0,0
1777306361807,629094478,629094478,0,0
1777306361911,633788478,633788478,0,0
1777306362021,637582478,637582478,0,0
1777306362127,642145478,642145478,0,0
1777306362231,647809478,647809478,0,0
1777306362332,652109478,652109478,0,0
1777306362436,656088478,656088478,0,0
1777306362538,662212478,662212478,0,0
1777306362644,669034478,669034478,0,0
1777306362749,674836478,674836478,0,0
1777306362854,679449478,679449478,0,0
1777306362959,684046478,684046478,0,0
1777306363102,687406437,687406437,0,0
1777306363212,692380437,692380437,0,0
1777306363318,921781.2201329923,921781.2201329923,0,0
1777306363427,702666437,702666437,0,0
1777306363530,707180437,707180437,0,0
1777306363685,711270340,711270340,0,0
1777306363798,717869340,717869340,0,0
1777306363899,723456340,723456340,0,0
1777306364004,727847340,727847340,0,0
1777306364105,731506340,731506340,0,0
1777306364210,736995340,736995340,0,0
1777306364316,743495340,743495340,0,0
1777306364419,749073340,749073340,0,0
1777306364521,753599340,753599340,0,0
1777306364626,758076340,758076340,0,0
1777306364729,761359340,761359340,0,0
1777306364841,763795340,763795340,0,0
1777306364955,766975340,766975340,0,0
1777306365059,771244340,771244340,0,0
1777306365165,775565340,775565340,0,0
1777306365271,779566340,779566340,0,0
1777306365371,783154198,783154198,0,0
1777306365472,786899198,786899198,0,0
1777306365577,790576198,790576198,0,0
1777306365683,794534198,794534198,0,0
1777306365787,979713.7175078323,979713.7175078323,0,0
1777306365892,799876198,799876198,0,0
1777306365996,801755198,801755198,0,0
1777306366102,803470198,803470198,0,0
1777306366211,803470198,803470198,0,0
1777306366325,803470198,803470198,0,0
1777306366444,803470198,803470198,0,0
1777306366593,803470099,803470099,0,0
1777306366701,803470099,803470099,0,0
1777306366812,803470099,803470099,0,0
1777306366928,803470099,803470099,0,0
1777306367042,803470099,803470099,0,0
1777306367154,803470099,803470099,0,0
1777306367303,803470040,803470040,0,0
1777306367421,803470040,803470040,0,0
1777306367538,803469997,803469997,0,0
1777306367656,803469997,803469997,0,0
1777306367771,803469997,803469997,0,0
1777306367880,0.7607419135511908,2,0,1.6290124999999998
1777306368033,1.0124788226340489,2,0,0.9753499582310589
1777306368144,0.8913514839136724,2,0,1.2437837778858745
1777306368250,1.146329346775654,2,0,0.7446992922457359
1777306368363,0.9612506491412096,2,0,1.0806227821919487
1777306368477,1.2143226118957104,2,0,0.6470087770808683
1777306368591,1.4819011125151165,2,0,0.34961771950191334
1777306368709,1.695671856581111,2,0,0.17947348848054176
1777306368818,1.8059385282506972,2,0,0.10745740716727398
